student_id,item_code,construct,question,answer,constraint
DT2026-396,D01,Demographics,Which state or union territory do you currently live in?,Maharashtra,0
DT2026-396,D02,Demographics,Which city do you currently live in?,Mumbai,0
DT2026-396,D03,Demographics,How would you classify your city?,Metro (Tier 1),0
DT2026-396,D04,Demographics,What is the sex that you were assigned at birth?,Male,0
DT2026-396,D05,Demographics,"How old are you? (in years, number only)",27,0
DT2026-396,D06,Demographics,Your age group:,25-29,0
DT2026-396,D07,Demographics,What is the highest level of schooling or degree that you have completed?,Bachelor's degree,0
DT2026-396,D08,Demographics,Which of these best describes you?,Never been married,0
DT2026-396,D09,Demographics,"What is your present religion, if any?",Hindu,0
DT2026-396,D10,Demographics,"Aside from weddings and funerals, how often do you attend religious services?",A few times a year,0
DT2026-396,D11,Demographics,"Last year, what was your total family income from all sources, before taxes?",₹6-10 lakh,0
DT2026-396,D12,Demographics,"In general, would you describe your political views as",Somewhat liberal,0
DT2026-396,D13,Demographics,"Including yourself, how many people currently live in your household?",4,0
DT2026-396,D14,Demographics,What is your current employment status?,Student,0
DT2026-396,D15,Demographics,Which languages do you browse and shop in online?,English,0
DT2026-396,BF01,Big Five Personality,I see myself as someone who is full of energy,3 - Neither agree nor disagree,0
DT2026-396,BF02,Big Five Personality,"I see myself as someone who is emotionally stable, not easily upset",4 - Agree a little,0
DT2026-396,BF03,Big Five Personality,I see myself as someone who does things efficiently,5 - Agree strongly,0
DT2026-396,BF04,Big Five Personality,"I see myself as someone who is outgoing, sociable",2 - Disagree a little,0
DT2026-396,BF05,Big Five Personality,"I see myself as someone who is sophisticated in art, music, or literature",3 - Neither agree nor disagree,0
DT2026-396,BF06,Big Five Personality,I see myself as someone who is considerate and kind to almost everyone,4 - Agree a little,0
DT2026-396,BF07,Big Five Personality,I see myself as someone who is generally trusting,4 - Agree a little,0
DT2026-396,NC01,Need for Cognition,I would prefer complex to simple problems,3 - Neither agree nor disagree,0
DT2026-396,NC02,Need for Cognition,I find satisfaction in deliberating hard and for long hours,4 - Agree a little,0
DT2026-396,NC03,Need for Cognition,I prefer my life to be filled with puzzles that I must solve,4 - Agree a little,0
DT2026-396,AC01,Agentic and Communal Values,"How important is WEALTH (financially successful, prosperous) as a guiding principle in your life?",Moderately important,0
DT2026-396,AC02,Agentic and Communal Values,How important is PLEASURE (having one's fill of life's pleasures and enjoyments) as a guiding principle in your life?,Quite important,0
DT2026-396,AC03,Agentic and Communal Values,"How important is INFLUENCE (having impact, influencing people and events) as a guiding principle in your life?",Somewhat important,0
DT2026-396,AC04,Agentic and Communal Values,"How important is COMPETENCE (displaying mastery, being capable, effective) as a guiding principle in your life?",Quite important,0
DT2026-396,AC05,Agentic and Communal Values,How important is ACHIEVEMENT (reaching lofty goals) as a guiding principle in your life?,Somewhat important,0
DT2026-396,AC06,Agentic and Communal Values,"How important is LOYALTY (being faithful to friends, family, and group) as a guiding principle in your life?",Extremely important,0
DT2026-396,AC07,Agentic and Communal Values,"How important is POWER (control over others, dominance) as a guiding principle in your life?",A little unimportant,0
DT2026-396,AC08,Agentic and Communal Values,"How important is EXCITEMENT (seeking adventure, risk, an exciting lifestyle) as a guiding principle in your life?",Moderately important,0
DT2026-396,AC09,Agentic and Communal Values,"How important is STATUS (high rank, wide respect) as a guiding principle in your life?",Quite important,0
DT2026-396,AC10,Agentic and Communal Values,"How important is AUTONOMY (independent, free of others' control) as a guiding principle in your life?",Quite important,0
DT2026-396,AC11,Agentic and Communal Values,"How important is RECOGNITION (becoming notable, famous, or admired) as a guiding principle in your life?",Somewhat important,0
DT2026-396,AC12,Agentic and Communal Values,"How important is SUPERIORITY (defeating the competition, standing on top) as a guiding principle in your life?",Moderately important,0
DT2026-396,MIN01,Consumer Minimalism,I avoid accumulating lots of stuff,4 - Agree a little,0
DT2026-396,MIN02,Consumer Minimalism,I restrict the number of things I own,3 - Neither agree nor disagree,0
DT2026-396,MIN03,Consumer Minimalism,I actively avoid acquiring excess possessions,3 - Neither agree nor disagree,0
DT2026-396,MIN04,Consumer Minimalism,The selection of things I own has been carefully curated,3 - Neither agree nor disagree,0
DT2026-396,GV01,Green Values,It is important to me that the products I use do not harm the environment,4 - Agree a little,0
DT2026-396,GV02,Green Values,My purchase habits are affected by my concern for our environment,3 - Neither agree nor disagree,0
DT2026-396,GV03,Green Values,I am willing to be inconvenienced in order to take actions that are more environmentally friendly,3 - Neither agree nor disagree,0
DT2026-396,SDS01,Social Desirability,I sometimes feel resentful when I don't get my way,TRUE,0
DT2026-396,SDS02,Social Desirability,There have been times when I felt like rebelling against people in authority even though I knew they were right,FALSE,0
DT2026-396,SDS03,Social Desirability,There have been occasions when I took advantage of someone,TRUE,0
DT2026-396,SDS04,Social Desirability,There have been times when I was quite jealous of the good fortune of others,FALSE,0
DT2026-396,IC01,Individualism and Collectivism,"I rely on myself most of the time, I rarely rely on others",4 - Agree a little,0
DT2026-396,IC02,Individualism and Collectivism,I often do my own thing,4 - Agree a little,0
DT2026-396,IC03,Individualism and Collectivism,"My personal identity, independent of others, is very important to me",4 - Agree a little,0
DT2026-396,IC04,Individualism and Collectivism,It is important for me to do my job better than the others,4 - Agree a little,0
DT2026-396,RF01,Regulatory Focus,Rules and regulations are helpful and necessary for me,TRUE,0
DT2026-396,RF02,Regulatory Focus,I'm not bothered about reviewing or checking things really closely,Not true,0
DT2026-396,RF03,Regulatory Focus,I like to do things in a new way,Neither true nor untrue,0
DT2026-396,RF04,Regulatory Focus,"I like trying out lots of different things, and am often successful in doing so",Probably true,0
DT2026-396,TS01,Spending Habits,Which of the following best describes your spending habits?,Somewhat spendthrift,0
DT2026-396,TS02,Spending Habits,"Some people have trouble limiting their spending: they often spend money - for example on clothes, meals, vacations - when they would do better not to. How well does this description fit you?",Sometimes,0
DT2026-396,TS03,Spending Habits,"Other people have trouble spending money. Perhaps because spending money makes them anxious, they often don't spend money on things they should spend it on. How well does this description fit you?",Sometimes,0
